county14,cbsatype,county,cntyname2,pop10,afact
17193, , ,White IL,14665,1
17195,Micro, ,Whiteside IL,58498,1
17197,Metro, ,Will IL,677560,1
17199,Metro, ,Williamson IL,66357,1
17201,Metro, ,Winnebago IL,295266,1
17203,Metro, ,Woodford IL,38664,1
18001,Micro, ,Adams IN,34387,1
18003,Metro, ,Allen IN,355329,1
18005,Metro, ,Bartholomew IN,76794,1
18007,Metro, ,Benton IN,8854,1
18009, , ,Blackford IN,12766,1
18011,Metro, ,Boone IN,56640,1
18013,Metro, ,Brown IN,15242,1
18015,Metro, ,Carroll IN,20155,1
18017,Micro, ,Cass IN,38966,1
18019,Metro, ,Clark IN,110232,1
18021,Metro, ,Clay IN,26890,1
18023,Micro, ,Clinton IN,33224,1
18025, , ,Crawford IN,10713,1
18027,Micro, ,Daviess IN,31648,1
18029,Metro, ,Dearborn IN,50047,1
18031,Micro, ,Decatur IN,25740,1
18033,Micro, ,De Kalb IN,42223,1
18035,Metro, ,Delaware IN,117671,1
18037,Micro, ,Dubois IN,41889,1
18039,Metro, ,Elkhart IN,197559,1
18041,Micro, ,Fayette IN,24277,1
18043,Metro, ,Floyd IN,74578,1
18045, , ,Fountain IN,17240,1
18047, , ,Franklin IN,23087,1
18049, , ,Fulton IN,20836,1
18051, , ,Gibson IN,33503,1
18053,Micro, ,Grant IN,70061,1
18055, , ,Greene IN,33165,1
18057,Metro, ,Hamilton IN,274569,1
18059,Metro, ,Hancock IN,70002,1
18061,Metro, ,Harrison IN,39364,1
18063,Metro, ,Hendricks IN,145448,1
18065,Micro, ,Henry IN,49462,1
18067,Metro, ,Howard IN,82752,1
18069,Micro, ,Huntington IN,37124,1
18071,Micro, ,Jackson IN,42376,1
18073,Metro, ,Jasper IN,33478,1
18075, , ,Jay IN,21253,1
18077,Micro, ,Jefferson IN,32428,1
18079,Micro, ,Jennings IN,28525,1
18081,Metro, ,Johnson IN,139654,1
18083,Micro, ,Knox IN,38440,1
18085,Micro, ,Kosciusko IN,77358,1
18087, , ,Lagrange IN,37128,1
18089,Metro, ,Lake IN,496005,1
18091,Metro, ,La Porte IN,111467,1
18093,Micro, ,Lawrence IN,46134,1
18095,Metro, ,Madison IN,131636,1
18097,Metro, ,Marion IN,903393,1
18099,Micro, ,Marshall IN,47051,1
18101, , ,Martin IN,10334,1
18103,Micro, ,Miami IN,36903,1
18105,Metro, ,Monroe IN,137974,1
18107,Micro, ,Montgomery IN,38124,1
18109,Metro, ,Morgan IN,68894,1
18111,Metro, ,Newton IN,14244,1
18113,Micro, ,Noble IN,47536,1
18115,Metro, ,Ohio IN,6128,1
18117, , ,Orange IN,19840,1
18119,Metro, ,Owen IN,21575,1
18121, , ,Parke IN,17339,1
18123, , ,Perry IN,19338,1
18125,Micro, ,Pike IN,12845,1
18127,Metro, ,Porter IN,164343,1
18129,Metro, ,Posey IN,25910,1
18131, , ,Pulaski IN,13402,1
18133,Metro, ,Putnam IN,37963,1
18135, , ,Randolph IN,26171,1
18137, , ,Ripley IN,28818,1
18139, , ,Rush IN,17392,1
18141,Metro, ,St. Joseph IN,266931,1
18143,Metro, ,Scott IN,24181,1
18145,Metro, ,Shelby IN,44436,1
18147, , ,Spencer IN,20952,1
18149, , ,Starke IN,23363,1
18151,Micro, ,Steuben IN,34185,1
18153,Metro, ,Sullivan IN,21475,1
18155, , ,Switzerland IN,10613,1
18157,Metro, ,Tippecanoe IN,172780,1
18159, , ,Tipton IN,15936,1
18161,Metro, ,Union IN,7516,1
18163,Metro, ,Vanderburgh IN,179703,1
18165,Metro, ,Vermillion IN,16212,1
18167,Metro, ,Vigo IN,107848,1
18169,Micro, ,Wabash IN,32888,1
18171, , ,Warren IN,8508,1
18173,Metro, ,Warrick IN,59689,1
18175,Metro, ,Washington IN,28262,1
18177,Micro, ,Wayne IN,68917,1
18179,Metro, ,Wells IN,27636,1
18181, , ,White IN,24643,1
18183,Metro, ,Whitley IN,33292,1
19001, , ,Adair IA,7682,1
19003, , ,Adams IA,4029,1
19005, , ,Allamakee IA,14330,1
19007, , ,Appanoose IA,12887,1
19009, , ,Audubon IA,6119,1
19011,Metro, ,Benton IA,26076,1
19013,Metro, ,Black Hawk IA,131090,1
19015,Micro, ,Boone IA,26306,1
19017,Metro, ,Bremer IA,24276,1
19019, , ,Buchanan IA,20958,1
19021,Micro, ,Buena Vista IA,20260,1
19023, , ,Butler IA,14867,1
19025, , ,Calhoun IA,9670,1
19027,Micro, ,Carroll IA,20816,1
19029, , ,Cass IA,13956,1
19031, , ,Cedar IA,18499,1
19033,Micro, ,Cerro Gordo IA,44151,1
19035, , ,Cherokee IA,12072,1
19037, , ,Chickasaw IA,12439,1
19039, , ,Clarke IA,9286,1
19041,Micro, ,Clay IA,16667,1
19043, , ,Clayton IA,18129,1
19045,Micro, ,Clinton IA,49116,1
19047, , ,Crawford IA,17096,1
19049,Metro, ,Dallas IA,66135,1
19051,Micro, ,Davis IA,8753,1
19053, , ,Decatur IA,8457,1
19055, , ,Delaware IA,17764,1
19057,Micro, ,Des Moines IA,40325,1
19059,Micro, ,Dickinson IA,16667,1
19061,Metro, ,Dubuque IA,93653,1
19063, , ,Emmet IA,10302,1
19065, , ,Fayette IA,20880,1
19067, , ,Floyd IA,16303,1
19069, , ,Franklin IA,10680,1
19071, , ,Fremont IA,7441,1
19073, , ,Greene IA,9336,1
19075,Metro, ,Grundy IA,12453,1
19077,Metro, ,Guthrie IA,10954,1
19079, , ,Hamilton IA,15673,1
19081, , ,Hancock IA,11341,1
19083, , ,Hardin IA,17534,1
19085,Metro, ,Harrison IA,14928,1
19087, , ,Henry IA,20145,1
19089, , ,Howard IA,9566,1
19091, , ,Humboldt IA,9815,1
19093, , ,Ida IA,7089,1
19095, , ,Iowa IA,16355,1
19097, , ,Jackson IA,19848,1
19099,Micro, ,Jasper IA,36842,1
19101,Micro, ,Jefferson IA,16843,1
19103,Metro, ,Johnson IA,130882,1
19105,Metro, ,Jones IA,20638,1
19107, , ,Keokuk IA,10511,1
19109, , ,Kossuth IA,15543,1
19111,Micro, ,Lee IA,35862,1
19113,Metro, ,Linn IA,211226,1
19115, , ,Louisa IA,11387,1
19117, , ,Lucas IA,8898,1
19119, , ,Lyon IA,11581,1
19121,Metro, ,Madison IA,15679,1
19123,Micro, ,Mahaska IA,22381,1
19125,Micro, ,Marion IA,33309,1
19127,Micro, ,Marshall IA,40648,1
19129,Metro, ,Mills IA,15059,1
19131, , ,Mitchell IA,10776,1
19133, , ,Monona IA,9243,1
19135, , ,Monroe IA,7970,1
19137, , ,Montgomery IA,10740,1
19139,Micro, ,Muscatine IA,42745,1
19141, , ,OBrien IA,14398,1
19143, , ,Osceola IA,6462,1
19145, , ,Page IA,15932,1
19147, , ,Palo Alto IA,9421,1
19149,Metro, ,Plymouth IA,24986,1
19151, , ,Pocahontas IA,7310,1
19153,Metro, ,Polk IA,430640,1
19155,Metro, ,Pottawattamie IA,93158,1
19157, , ,Poweshiek IA,18914,1
19159, , ,Ringgold IA,5131,1
19161, , ,Sac IA,10350,1
19163,Metro, ,Scott IA,165224,1
19165, , ,Shelby IA,12167,1
19167, , ,Sioux IA,33704,1
19169,Metro, ,Story IA,89542,1
19171, , ,Tama IA,17767,1
19173, , ,Taylor IA,6317,1
19175, , ,Union IA,12534,1
19177, , ,Van Buren IA,7570,1
19179,Micro, ,Wapello IA,35625,1
19181,Metro, ,Warren IA,46225,1
19183,Metro, ,Washington IA,21704,1
19185, , ,Wayne IA,6403,1
19187,Micro, ,Webster IA,38013,1
19189, , ,Winnebago IA,10866,1
19191, , ,Winneshiek IA,21056,1
19193,Metro, ,Woodbury IA,102172,1
19195,Micro, ,Worth IA,7598,1
19197, , ,Wright IA,13229,1
20001, , ,Allen KS,13371,1
20003, , ,Anderson KS,8102,1
20005,Micro, ,Atchison KS,16924,1
20007, , ,Barber KS,4861,1
20009,Micro, ,Barton KS,27674,1
20011, , ,Bourbon KS,15173,1
20013, , ,Brown KS,9984,1
20015,Metro, ,Butler KS,65880,1
20017, , ,Chase KS,2790,1
20019, , ,Chautauqua KS,3669,1
20021, , ,Cherokee KS,21603,1
20023, , ,Cheyenne KS,2726,1
20025, , ,Clark KS,2215,1
20027, , ,Clay KS,8535,1
20029, , ,Cloud KS,9533,1
20031, , ,Coffey KS,8601,1
20033, , ,Comanche KS,1891,1
20035,Micro, ,Cowley KS,36311,1
20037,Micro, ,Crawford KS,39134,1
20039, , ,Decatur KS,2961,1
20041, , ,Dickinson KS,19754,1
20043,Metro, ,Doniphan KS,7945,1
20045,Metro, ,Douglas KS,110826,1
20047, , ,Edwards KS,3037,1
20049, , ,Elk KS,2882,1
20051,Micro, ,Ellis KS,28452,1
20053, , ,Ellsworth KS,6497,1
20055,Micro, ,Finney KS,36776,1
20057,Micro, ,Ford KS,33848,1
20059,Micro, ,Franklin KS,25992,1
20061,Micro, ,Geary KS,34362,1
20063, , ,Gove KS,2695,1
20065, , ,Graham KS,2597,1
20067, , ,Grant KS,7829,1
20069, , ,Gray KS,6006,1
20071, , ,Greeley KS,1247,1
20073, , ,Greenwood KS,6689,1
20075, , ,Hamilton KS,2690,1
20077, , ,Harper KS,6034,1
20079,Metro, ,Harvey KS,34684,1
20081, , ,Haskell KS,4256,1
20083, , ,Hodgeman KS,1916,1
20085,Metro, ,Jackson KS,13462,1
20087,Metro, ,Jefferson KS,19126,1
20089, , ,Jewell KS,3077,1
20091,Metro, ,Johnson KS,544179,1
20093,Micro, ,Kearny KS,3977,1
20095,Metro, ,Kingman KS,7858,1
20097, , ,Kiowa KS,2553,1
20099,Micro, ,Labette KS,21607,1
20101, , ,Lane KS,1750,1
20103,Metro, ,Leavenworth KS,76227,1
20105, , ,Lincoln KS,3241,1
20107,Metro, ,Linn KS,9656,1
20109, , ,Logan KS,2756,1
20111,Micro, ,Lyon KS,33690,1
20113,Micro, ,McPherson KS,29180,1
20115, , ,Marion KS,12660,1
20117, , ,Marshall KS,10117,1
20119, , ,Meade KS,4575,1
20121,Metro, ,Miami KS,32787,1
20123, , ,Mitchell KS,6373,1
20125,Micro, ,Montgomery KS,35471,1
20127, , ,Morris KS,5923,1
20129, , ,Morton KS,3233,1
20131, , ,Nemaha KS,10178,1
20133, , ,Neosho KS,16512,1
20135, , ,Ness KS,3107,1
20137, , ,Norton KS,5671,1
20139,Metro, ,Osage KS,16295,1
20141, , ,Osborne KS,3858,1
20143,Micro, ,Ottawa KS,6091,1
20145, , ,Pawnee KS,6973,1
20147, , ,Phillips KS,5642,1
20149,Metro, ,Pottawatomie KS,21604,1
20151, , ,Pratt KS,9656,1
20153, , ,Rawlins KS,2519,1
20155,Micro, ,Reno KS,64511,1
20157, , ,Republic KS,4980,1
20159, , ,Rice KS,10083,1
20161,Metro, ,Riley KS,71115,1
20163, , ,Rooks KS,5181,1
20165, , ,Rush KS,3307,1
20167, , ,Russell KS,6970,1
20169,Micro, ,Saline KS,55606,1
20171, , ,Scott KS,4936,1
20173,Metro, ,Sedgwick KS,498365,1
20175,Micro, ,Seward KS,22952,1
20177,Metro, ,Shawnee KS,177934,1
20179, , ,Sheridan KS,2556,1
20181, , ,Sherman KS,6010,1
20183, , ,Smith KS,3853,1
20185, , ,Stafford KS,4437,1
20187, , ,Stanton KS,2235,1
20189, , ,Stevens KS,5724,1
20191,Metro, ,Sumner KS,24132,1
20193, , ,Thomas KS,7900,1
20195, , ,Trego KS,3001,1
20197,Metro, ,Wabaunsee KS,7053,1
20199, , ,Wallace KS,1485,1
20201, , ,Washington KS,5799,1
20203, , ,Wichita KS,2234,1
20205, , ,Wilson KS,9409,1
20207, , ,Woodson KS,3309,1
20209,Metro, ,Wyandotte KS,157505,1
21001, , ,Adair KY,18656,1
21003,Metro, ,Allen KY,19956,1
21005,Micro, ,Anderson KY,21421,1
21007,Micro, ,Ballard KY,8249,1
21009,Micro, ,Barren KY,42173,1
21011,Micro, ,Bath KY,11591,1
21013,Micro, ,Bell KY,28691,1
21015,Metro, ,Boone KY,118811,1
21017,Metro, ,Bourbon KY,19985,1
21019,Metro, ,Boyd KY,49542,1
21021,Micro, ,Boyle KY,28432,1
21023,Metro, ,Bracken KY,8488,1
21025, , ,Breathitt KY,13878,1
21027, , ,Breckinridge KY,20059,1
21029,Metro, ,Bullitt KY,74319,1
21031,Metro, ,Butler KY,12690,1
21033, , ,Caldwell KY,12984,1
21035,Micro, ,Calloway KY,37191,1
21037,Metro, ,Campbell KY,90336,1
21039, , ,Carlisle KY,5104,1
21041, , ,Carroll KY,10811,1
21043, , ,Carter KY,27720,1
21045, , ,Casey KY,15955,1
21047,Metro, ,Christian KY,73955,1
21049,Metro, ,Clark KY,35613,1
21051, , ,Clay KY,21730,1
21053, , ,Clinton KY,10272,1
21055, , ,Crittenden KY,9315,1
21057, , ,Cumberland KY,6856,1
21059,Metro, ,Daviess KY,96656,1
21061,Metro, ,Edmonson KY,12161,1
21063, , ,Elliott KY,7852,1
21065, , ,Estill KY,14672,1
21067,Metro, ,Fayette KY,295803,1
21069, , ,Fleming KY,14348,1
21071, , ,Floyd KY,39451,1
21073,Micro, ,Franklin KY,49285,1
21075,Micro, ,Fulton KY,6813,1
21077,Metro, ,Gallatin KY,8589,1
21079, , ,Garrard KY,16912,1
21081,Metro, ,Grant KY,24662,1
21083,Micro, ,Graves KY,37121,1
21085, , ,Grayson KY,25746,1
21087, , ,Green KY,11258,1
21089,Metro, ,Greenup KY,36910,1
21091,Metro, ,Hancock KY,8565,1
21093,Metro, ,Hardin KY,105543,1
21095, , ,Harlan KY,29278,1
21097, , ,Harrison KY,18846,1
21099, , ,Hart KY,18199,1
21101,Metro, ,Henderson KY,46250,1
21103,Metro, ,Henry KY,15416,1
21105, , ,Hickman KY,4902,1
21107,Micro, ,Hopkins KY,46920,1
21109, , ,Jackson KY,13494,1
21111,Metro, ,Jefferson KY,741096,1
21113,Metro, ,Jessamine KY,48586,1
21115, , ,Johnson KY,23356,1
21117,Metro, ,Kenton KY,159720,1
21119, , ,Knott KY,16346,1
21121,Micro, ,Knox KY,31883,1
21123,Metro, ,Larue KY,14193,1
21125,Micro, ,Laurel KY,58849,1
21127, , ,Lawrence KY,15860,1
21129, , ,Lee KY,7887,1
21131, , ,Leslie KY,11310,1
21133, , ,Letcher KY,24519,1
21135, , ,Lewis KY,13870,1
21137,Micro, ,Lincoln KY,24742,1
21139,Micro, ,Livingston KY,9519,1
21141, , ,Logan KY,26835,1
21143, , ,Lyon KY,8314,1
21145,Micro, ,McCracken KY,65565,1
21147, , ,McCreary KY,18306,1
21149,Metro, ,McLean KY,9531,1
21151,Micro, ,Madison KY,82916,1
21153, , ,Magoffin KY,13333,1
21155, , ,Marion KY,19820,1
21157, , ,Marshall KY,31448,1
21159, , ,Martin KY,12929,1
21161,Micro, ,Mason KY,17490,1
21163,Metro, ,Meade KY,28602,1
21165,Micro, ,Menifee KY,6306,1
21167, , ,Mercer KY,21331,1
21169,Micro, ,Metcalfe KY,10099,1
21171, , ,Monroe KY,10963,1
21173,Micro, ,Montgomery KY,26499,1
21175, , ,Morgan KY,13923,1
21177,Micro, ,Muhlenberg KY,31499,1
21179,Micro, ,Nelson KY,43437,1
21181, , ,Nicholas KY,7135,1
21183, , ,Ohio KY,23842,1
21185,Metro, ,Oldham KY,60316,1
21187, , ,Owen KY,10841,1
21189, , ,Owsley KY,4755,1
21191,Metro, ,Pendleton KY,14877,1
21193, , ,Perry KY,28712,1
21195, , ,Pike KY,65024,1
21197, , ,Powell KY,12613,1
21199,Micro, ,Pulaski KY,63063,1
21201, , ,Robertson KY,2282,1
21203,Micro, ,Rockcastle KY,17056,1
21205, , ,Rowan KY,23333,1
21207, , ,Russell KY,17565,1
21209,Metro, ,Scott KY,47173,1
21211,Metro, ,Shelby KY,42074,1
21213, , ,Simpson KY,17327,1
21215,Metro, ,Spencer KY,17061,1
21217,Micro, ,Taylor KY,24512,1
21219, , ,Todd KY,12460,1
21221,Metro, ,Trigg KY,14339,1
21223,Metro, ,Trimble KY,8809,1
21225, , ,Union KY,15007,1
21227,Metro, ,Warren KY,113792,1
21229, , ,Washington KY,11717,1
21231, , ,Wayne KY,20813,1
21233, , ,Webster KY,13621,1
21235,Micro, ,Whitley KY,35637,1
21237, , ,Wolfe KY,7355,1
21239,Metro, ,Woodford KY,24939,1
22001,Metro, ,Acadia Parish LA,61773,1
22003, , ,Allen Parish LA,25764,1
22005,Metro, ,Ascension Parish LA,107215,1
22007, , ,Assumption Parish LA,23421,1
22009, , ,Avoyelles Parish LA,42073,1
22011,Micro, ,Beauregard Parish LA,35654,1
22013, , ,Bienville Parish LA,14353,1
22015,Metro, ,Bossier Parish LA,116979,1
22017,Metro, ,Caddo Parish LA,254969,1
22019,Metro, ,Calcasieu Parish LA,192768,1
22021, , ,Caldwell Parish LA,10132,1
22023,Metro, ,Cameron Parish LA,6839,1
22025, , ,Catahoula Parish LA,10407,1
22027, , ,Claiborne Parish LA,17195,1
22029,Micro, ,Concordia Parish LA,20822,1
22031,Metro, ,De Soto Parish LA,26656,1
22033,Metro, ,East Baton Rouge Parish LA,440171,1
22035, , ,East Carroll Parish LA,7759,1
22037,Metro, ,East Feliciana Parish LA,20267,1
22039, , ,Evangeline Parish LA,33984,1
22041, , ,Franklin Parish LA,20767,1
22043,Metro, ,Grant Parish LA,22309,1
22045,Metro, ,Iberia Parish LA,73240,1
22047,Metro, ,Iberville Parish LA,33387,1
22049, , ,Jackson Parish LA,16274,1
22051,Metro, ,Jefferson Parish LA,432552,1
22053,Micro, ,Jefferson Davis Parish LA,31594,1
22055,Metro, ,Lafayette Parish LA,221578,1
22057,Metro, ,Lafourche Parish LA,96318,1
22059, , ,La Salle Parish LA,14890,1
22061,Micro, ,Lincoln Parish LA,46735,1
22063,Metro, ,Livingston Parish LA,128026,1
22065, , ,Madison Parish LA,12093,1
22067,Micro, ,Morehouse Parish LA,27979,1
22069,Micro, ,Natchitoches Parish LA,39566,1
22071,Metro, ,Orleans Parish LA,343829,1
22073,Metro, ,Ouachita Parish LA,153720,1
22075,Metro, ,Plaquemines Parish LA,23042,1
22077,Metro, ,Pointe Coupee Parish LA,22802,1
22079,Metro, ,Rapides Parish LA,131613,1
22081, , ,Red River Parish LA,9091,1
22083, , ,Richland Parish LA,20725,1
22085, , ,Sabine Parish LA,24233,1
22087,Metro, ,St. Bernard Parish LA,35897,1
22089,Metro, ,St. Charles Parish LA,52780,1
22091,Metro, ,St. Helena Parish LA,11203,1
22093,Metro, ,St. James Parish LA,22102,1
22095,Metro, ,St. John the Baptist Parish LA,45924,1
22097,Micro, ,St. Landry Parish LA,83384,1
22099,Metro, ,St. Martin Parish LA,52160,1
22101,Micro, ,St. Mary Parish LA,54650,1
22103,Metro, ,St. Tammany Parish LA,233740,1
22105,Metro, ,Tangipahoa Parish LA,121097,1
22107, , ,Tensas Parish LA,5252,1
22109,Metro, ,Terrebonne Parish LA,111860,1
22111,Metro, ,Union Parish LA,22721,1
22113,Metro, ,Vermilion Parish LA,57999,1
22115,Micro, ,Vernon Parish LA,52334,1
22117,Micro, ,Washington Parish LA,47168,1
22119,Metro, ,Webster Parish LA,41207,1
22121,Metro, ,West Baton Rouge Parish LA,23788,1
22123, , ,West Carroll Parish LA,11604,1
22125,Metro, ,West Feliciana Parish LA,15625,1
22127, , ,Winn Parish LA,15313,1
23001,Metro, ,Androscoggin ME,107702,1
23003, , ,Aroostook ME,71870,1
23005,Metro, ,Cumberland ME,281674,1
23007, , ,Franklin ME,30768,1
23009, , ,Hancock ME,54418,1
23011,Micro, ,Kennebec ME,122151,1
23013, , ,Knox ME,39736,1
23015, , ,Lincoln ME,34457,1
23017, , ,Oxford ME,57833,1
23019,Metro, ,Penobscot ME,153923,1
23021, , ,Piscataquis ME,17535,1
23023,Metro, ,Sagadahoc ME,35293,1
23025, , ,Somerset ME,52228,1
23027, , ,Waldo ME,38786,1
23029, , ,Washington ME,32856,1
23031,Metro, ,York ME,197131,1
24001,Metro, ,Allegany MD,75087,1
24003,Metro, ,Anne Arundel MD,537656,1
24005,Metro, ,Baltimore MD,805029,1
24009,Metro, ,Calvert MD,88737,1
24011, , ,Caroline MD,33066,1
24013,Metro, ,Carroll MD,167134,1
24015,Metro, ,Cecil MD,101108,1
24017,Metro, ,Charles MD,146551,1
24019,Micro, ,Dorchester MD,32618,1
24021,Metro, ,Frederick MD,233385,1
24023, , ,Garrett MD,30097,1
24025,Metro, ,Harford MD,244826,1
24027,Metro, ,Howard MD,287085,1
24029, , ,Kent MD,20197,1
24031,Metro, ,Montgomery MD,971777,1
24033,Metro, ,Prince Georges MD,863420,1
24035,Metro, ,Queen Annes MD,47798,1
24037,Metro, ,St. Marys MD,105151,1
24039,Metro, ,Somerset MD,26470,1
24041,Micro, ,Talbot MD,37782,1
24043,Metro, ,Washington MD,147430,1
24045,Metro, ,Wicomico MD,98733,1
24047,Metro, ,Worcester MD,51454,1
24510,Metro, ,Baltimore city MD,620961,1
25001,Metro, ,Barnstable MA,215888,1
25003,Metro, ,Berkshire MA,131219,1
25005,Metro, ,Bristol MA,548285,1
25007,Micro, ,Dukes MA,16535,1
25009,Metro, ,Essex MA,743159,1
25011,Micro, ,Franklin MA,71372,1
25013,Metro, ,Hampden MA,463490,1
25015,Metro, ,Hampshire MA,158080,1
25017,Metro, ,Middlesex MA,1503085,1
25019, , ,Nantucket MA,10172,1
25021,Metro, ,Norfolk MA,670850,1
25023,Metro, ,Plymouth MA,494919,1
25025,Metro, ,Suffolk MA,722023,1
25027,Metro, ,Worcester MA,798552,1
26001, , ,Alcona MI,10942,1
26003, , ,Alger MI,9601,1
26005,Micro, ,Allegan MI,111408,1
26007,Micro, ,Alpena MI,29598,1
26009, , ,Antrim MI,23580,1
26011, , ,Arenac MI,15899,1
26013, , ,Baraga MI,8860,1
26015,Metro, ,Barry MI,59173,1
26017,Metro, ,Bay MI,107771,1
26019,Micro, ,Benzie MI,17525,1
26021,Metro, ,Berrien MI,156813,1
26023,Micro, ,Branch MI,45248,1
26025,Metro, ,Calhoun MI,136146,1
26027,Metro, ,Cass MI,52293,1
26029, , ,Charlevoix MI,25949,1
26031, , ,Cheboygan MI,26152,1
26033,Micro, ,Chippewa MI,38520,1
26035, , ,Clare MI,30926,1
26037,Metro, ,Clinton MI,75382,1
26039, , ,Crawford MI,14074,1
26041,Micro, ,Delta MI,37069,1
26043,Micro, ,Dickinson MI,26168,1
26045,Metro, ,Eaton MI,107759,1
26047, , ,Emmet MI,32694,1
26049,Metro, ,Genesee MI,425790,1
26051, , ,Gladwin MI,25692,1
26053, , ,Gogebic MI,16427,1
26055,Micro, ,Grand Traverse MI,86986,1
26057,Micro, ,Gratiot MI,42476,1
26059,Micro, ,Hillsdale MI,46688,1
26061,Micro, ,Houghton MI,36628,1
26063, , ,Huron MI,33118,1
26065,Metro, ,Ingham MI,280895,1
26067,Micro, ,Ionia MI,63905,1
26069, , ,Iosco MI,25887,1
26071, , ,Iron MI,11817,1
26073,Micro, ,Isabella MI,70311,1
26075,Metro, ,Jackson MI,160248,1
26077,Metro, ,Kalamazoo MI,250331,1
26079,Micro, ,Kalkaska MI,17153,1
26081,Metro, ,Kent MI,602622,1
26083,Micro, ,Keweenaw MI,2156,1
26085, , ,Lake MI,11539,1
26087,Metro, ,Lapeer MI,88319,1
26089,Micro, ,Leelanau MI,21708,1
26091,Micro, ,Lenawee MI,99892,1
26093,Metro, ,Livingston MI,180967,1
26095, , ,Luce MI,6631,1
26097, , ,Mackinac MI,11113,1
26099,Metro, ,Macomb MI,840978,1
26101, , ,Manistee MI,24733,1
26103,Micro, ,Marquette MI,67077,1
26105,Micro, ,Mason MI,28705,1
26107,Micro, ,Mecosta MI,42798,1
26109,Micro, ,Menominee MI,24029,1
26111,Metro, ,Midland MI,83629,1
26113,Micro, ,Missaukee MI,14849,1
26115,Metro, ,Monroe MI,152021,1
26117,Metro, ,Montcalm MI,63342,1
26119, , ,Montmorency MI,9765,1
26121,Metro, ,Muskegon MI,172188,1
26123, , ,Newaygo MI,48460,1
26125,Metro, ,Oakland MI,1202362,1
26127, , ,Oceana MI,26570,1
26129, , ,Ogemaw MI,21699,1
26131, , ,Ontonagon MI,6780,1
26133, , ,Osceola MI,23528,1
26135, , ,Oscoda MI,8640,1
26137, , ,Otsego MI,24164,1
26139,Metro, ,Ottawa MI,263801,1
26141, , ,Presque Isle MI,13376,1
26143, , ,Roscommon MI,24449,1
26145,Metro, ,Saginaw MI,200169,1
26147,Metro, ,St. Clair MI,163040,1
26149,Micro, ,St. Joseph MI,61295,1
26151, , ,Sanilac MI,43114,1
26153, , ,Schoolcraft MI,8485,1
26155,Micro, ,Shiawassee MI,70648,1
26157, , ,Tuscola MI,55729,1
26159,Metro, ,Van Buren MI,76258,1
26161,Metro, ,Washtenaw MI,344791,1
26163,Metro, ,Wayne MI,1820584,1
26165,Micro, ,Wexford MI,32735,1
27001, , ,Aitkin MN,16202,1
27003,Metro, ,Anoka MN,330844,1
27005, , ,Becker MN,32504,1
27007,Micro, ,Beltrami MN,44442,1
27009,Metro, ,Benton MN,38451,1
27011, , ,Big Stone MN,5269,1
27013,Metro, ,Blue Earth MN,64013,1
27015,Micro, ,Brown MN,25893,1
27017,Metro, ,Carlton MN,35386,1
27019,Metro, ,Carver MN,91042,1
27021,Micro, ,Cass MN,28567,1
27023, , ,Chippewa MN,12441,1
27025,Metro, ,Chisago MN,53887,1
27027,Metro, ,Clay MN,58999,1
27029, , ,Clearwater MN,8695,1
27031, , ,Cook MN,5176,1
27033, , ,Cottonwood MN,11687,1
27035,Micro, ,Crow Wing MN,62500,1
27037,Metro, ,Dakota MN,398552,1
27039,Metro, ,Dodge MN,20087,1
27041,Micro, ,Douglas MN,36009,1
27043, , ,Faribault MN,14553,1
27045,Metro, ,Fillmore MN,20866,1
27047,Micro, ,Freeborn MN,31255,1
27049,Micro, ,Goodhue MN,46183,1
27051, , ,Grant MN,6018,1
27053,Metro, ,Hennepin MN,1152425,1
27055,Metro, ,Houston MN,19027,1
27057, , ,Hubbard MN,20428,1
27059,Metro, ,Isanti MN,37816,1
27061,Micro, ,Itasca MN,45058,1
27063, , ,Jackson MN,10266,1
27065, , ,Kanabec MN,16239,1
27067,Micro, ,Kandiyohi MN,42239,1
27069, , ,Kittson MN,4552,1
27071, , ,Koochiching MN,13311,1
27073, , ,Lac qui Parle MN,7259,1
27075, , ,Lake MN,10866,1
27077, , ,Lake of the Woods MN,4045,1
27079,Metro, ,Le Sueur MN,27703,1
27081, , ,Lincoln MN,5896,1
27083,Micro, ,Lyon MN,25857,1
27085,Micro, ,McLeod MN,36651,1
27087, , ,Mahnomen MN,5413,1
27089, , ,Marshall MN,9439,1
27091,Micro, ,Martin MN,20840,1
27093, , ,Meeker MN,23300,1
27095,Metro, ,Mille Lacs MN,26097,1
27097, , ,Morrison MN,33198,1
27099,Micro, ,Mower MN,39163,1
27101, , ,Murray MN,8725,1
27103,Metro, ,Nicollet MN,32727,1
27105,Micro, ,Nobles MN,21378,1
27107, , ,Norman MN,6852,1
27109,Metro, ,Olmsted MN,144248,1
27111,Micro, ,Otter Tail MN,57303,1
27113, , ,Pennington MN,13930,1
27115, , ,Pine MN,29750,1
27117, , ,Pipestone MN,9596,1
27119,Metro, ,Polk MN,31600,1
27121, , ,Pope MN,10995,1
27123,Metro, ,Ramsey MN,508640,1
27125, , ,Red Lake MN,4089,1
27127, , ,Redwood MN,16059,1
27129, , ,Renville MN,15730,1
27131,Micro, ,Rice MN,64142,1
27133, , ,Rock MN,9687,1
27135, , ,Roseau MN,15629,1
27137,Metro, ,St. Louis MN,200226,1
27139,Metro, ,Scott MN,129928,1
27141,Metro, ,Sherburne MN,88499,1
